id,name,IDENTITY,ALIGN,EYE,HAIR,SEX,ALIVE,FIRST APPEARANCE,Year
404736,Marita (Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,Living Characters,Aug-97,1997
37433,Megan McLaren (Earth-616),Public Identity,,,Blond Hair,Female Characters,Living Characters,Apr-97,1997
739756,Overboss Dixon (Earth-616),,,,,Male Characters,Living Characters,Jul-97,1997
39473,Hescamar (Earth-616),Secret Identity,Good Characters,,,Male Characters,Deceased Characters,Aug-98,1998
7669,Lavinia LeBlanc (Earth-616),Secret Identity,Neutral Characters,Grey Eyes,Grey Hair,Female Characters,Deceased Characters,Jul-98,1998
25512,Donna Bliss (Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Female Characters,Living Characters,Sep-99,1999
27554,Esperanza Ling (Earth-616),,Good Characters,,Strawberry Blond Hair,Female Characters,Living Characters,Oct-99,1999
78016,Joan the Mouse (Earth-616),,Good Characters,,Brown Hair,Female Characters,Living Characters,Apr-00,2000
1956,Samantha Dunbar (Heroes Reborn) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,Jan-00,2000
16978,Darian Elliott (Earth-616),,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,Dec-01,2001
16900,Paul Hark (Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,Living Characters,Nov-01,2001
18642,Elizabeth Bondi (Earth-616),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,Living Characters,Oct-02,2002
456276,Maureen Lyszinski (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,Dec-02,2002
302896,Sandra Verdugo (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,Mar-02,2002
662245,Destiny Gonzales (Earth-616),Public Identity,Neutral Characters,,Blue Hair,Female Characters,Deceased Characters,Jul-03,2003
16483,Host (Pathogen) (Earth-616),,,Blue Eyes,Black Hair,Female Characters,Living Characters,Dec-03,2003
117675,Chamayra Ortega (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,Aug-04,2004
1884,John Zander (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,Aug-04,2004
20195,Augustus (Earth-616),Secret Identity,Neutral Characters,,Blond Hair,Male Characters,Living Characters,Sep-05,2005
557395,Ayna Sareva (Earth-616),,Good Characters,,Blond Hair,Female Characters,Living Characters,Jun-05,2005
3556,Charles Weiderman (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,Feb-05,2005
349492,Rebbecca Kaplan (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,Oct-05,2005
21491,Sarah Kinney (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters,Mar-05,2005
29673,Curtis Doyle (Earth-616),Public Identity,Good Characters,Black Eyes,Blond Hair,Male Characters,Deceased Characters,Jul-06,2006
20717,Rajani Dhama (Earth-616),,Good Characters,,,Female Characters,Living Characters,Jan-06,2006
304304,Elizabeth Sooner (Earth-616),Public Identity,Good Characters,,Red Hair,Female Characters,Living Characters,Sep-07,2007
336638,John Maddox (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,Apr-07,2007
68502,Mulholland Black (Earth-616),Public Identity,,Brown Eyes,Black Hair,Female Characters,Deceased Characters,Sep-07,2007
188567,Fraktur (Earth-616),Secret Identity,Good Characters,Yellow Eyes,No Hair,Female Characters,Living Characters,Dec-08,2008
174827,Madeleine Michaels (Earth-616),Secret Identity,Good Characters,,Brown Hair,Female Characters,Living Characters,Nov-08,2008
174830,Marina Zane (Earth-616),Secret Identity,Good Characters,,,Female Characters,Living Characters,Nov-08,2008
316300,Bill (A.I.M. Agent) (Earth-616),Secret Identity,Neutral Characters,White Eyes,,Male Characters,Living Characters,Jan-10,2010
349566,Isaac Newton (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,Jun-10,2010
476758,Jacob Feinman (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Bald,Male Characters,Living Characters,Nov-10,2010
349605,Leonid (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,Jun-10,2010
499538,Brad Dodge (Earth-616),,Good Characters,,,Male Characters,Living Characters,Apr-11,2011
466571,Donna Kiel (Earth-616),,Neutral Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,Aug-11,2011
514192,Harper Simmons (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,Jul-11,2011
489882,Inka (Earth-616),Secret Identity,Good Characters,Red Eyes,Black Hair,Female Characters,Living Characters,Nov-11,2011
489841,Sanjay (Earth-616),Secret Identity,Good Characters,Red Eyes,Blond Hair,Male Characters,Living Characters,Nov-11,2011
518368,Splitlip (Earth-616),Public Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,Sep-11,2011
576852,Recording Observation Bot (Earth-616),Public Identity,Good Characters,,,Agender Characters,Living Characters,Mar-13,2013
18785,Kevin Trublood (Earth-616),Public Identity,,,,Male Characters,Living Characters,,
86059,Leonard Gade (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,Apr-40,1940
237816,Merzah (Earth-616),Secret Identity,Good Characters,Green Eyes,Grey Hair,Male Characters,Deceased Characters,Aug-40,1940
4187,William Carmody (Earth-616),Secret Identity,,Blue Eyes,Black Hair,Male Characters,Deceased Characters,Aug-40,1940
98845,Dan Kane (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,Nov-41,1941
322642,George Washington (Earth-616),,Good Characters,,,Male Characters,Deceased Characters,Mar-47,1947
563594,Matthew Grayson (Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,Deceased Characters,Dec-50,1950
564598,Arrow (Earth-616),No Dual Identity,Good Characters,,Grey Hair,Male Characters,Living Characters,Mar-51,1951
564594,Cliff Macklin (Earth-616),Public Identity,Good Characters,,Grey Hair,Male Characters,Living Characters,Mar-51,1951
64569,David Laramee (Earth-616),Public Identity,,,Blond Hair,Male Characters,Living Characters,Mar-51,1951
24644,Gitche Manitou (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,Jan-51,1951
601869,Captain Stone (Earth-616),Public Identity,Good Characters,,,Male Characters,Living Characters,Mar-53,1953
413006,Harry Sikes (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,May-53,1953
236107,Buri (Asgardian) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Variable Hair,Male Characters,Living Characters,Oct-63,1963
278827,Red Hargrove (Earth-616),Public Identity,Good Characters,,Red Hair,Male Characters,Deceased Characters,May-64,1964
513206,Slade (Earth-616),,,,Blond Hair,Male Characters,Living Characters,Apr-64,1964
273474,Vuk (Earth-616),Secret Identity,Neutral Characters,White Eyes,Green Hair,Male Characters,Living Characters,Mar-64,1964
291843,Hans Rooten (Earth-616),,Good Characters,,,Male Characters,Living Characters,Feb-65,1965
18581,Sharon Xavier (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,Jul-65,1965
296404,Lyan (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,Nov-66,1966
73637,Johnny Carson (Earth-616),Public Identity,Neutral Characters,,White Hair,Male Characters,Living Characters,Jul-67,1967
308573,General Bridges (Earth-616),,Good Characters,,,Male Characters,Living Characters,Mar-68,1968
279391,Brett Sabre (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,Aug-70,1970
1726,Golem (Statue) (Earth-616),,,,No Hair,Male Characters,Living Characters,Dec-70,1970
258507,Grand Vizier (Polemachus) (Earth-616),,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,Apr-70,1970
694275,Ka-Nu (Earth-616),Public Identity,Neutral Characters,,White Hair,Male Characters,Living Characters,Mar-71,1971
485837,Doc Watson (Earth-616),,Good Characters,,,Male Characters,Living Characters,Jun-72,1972
560175,Howard Shigeta (Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,Living Characters,May-72,1972
560171,Laurie Livingston (Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,Living Characters,May-72,1972
40055,Linda Donaldson (Earth-616),,,,,Female Characters,Living Characters,Mar-72,1972
440415,Reva Connors (Earth-616),,Neutral Characters,,Black Hair,Female Characters,Deceased Characters,Jun-72,1972
702281,Rex Carpenter (Earth-616),No Dual Identity,,,Black Hair,Male Characters,Living Characters,Dec-72,1972
53202,Alexi Skarab (Earth-616),No Dual Identity,,Brown Eyes,Brown Hair,Male Characters,Living Characters,Aug-73,1973
17212,Hathor-Sekhmet (Earth-616),Secret Identity,,White Eyes,Orange Hair,Female Characters,Living Characters,Jun-73,1973
304641,Maria Dracula (Earth-616),No Dual Identity,Good Characters,,Blond Hair,Female Characters,Deceased Characters,Aug-73,1973
15591,Sui-San (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters,Nov-73,1973
692863,Daemond (Earth-616),,,,,Male Characters,Living Characters,Feb-74,1974
15937,Gregori Kronski (Earth-616),Secret Identity,Neutral Characters,,,Male Characters,Deceased Characters,Jun-74,1974
555953,Grigar (Earth-616),,,,Brown Hair,Male Characters,Living Characters,Apr-74,1974
389619,Richard Harper (Earth-616),,,,,Male Characters,Living Characters,Oct-74,1974
163412,Roscoe Simons (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,Oct-74,1974
2160,William Turner (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,Nov-74,1974
70949,Gerald Ford (Earth-616),Public Identity,,,,Male Characters,Living Characters,Mar-75,1975
1865,Iridia (Earth-616),Public Identity,,,Blond Hair,Female Characters,Living Characters,Oct-75,1975
36258,Julian Phyffe (Earth-616),Secret Identity,Neutral Characters,,Black Hair,Male Characters,Living Characters,Aug-75,1975
1323,Esteban Carracus (Earth-616),Public Identity,,Brown Eyes,Black Hair,Male Characters,Deceased Characters,Jan-77,1977
1156,Belathauzer (Earth-616),Secret Identity,,Red Eyes,No Hair,Male Characters,Living Characters,May-78,1978
4569,Priscilla Dolly (Earth-616),,,,,Female Characters,Living Characters,Jun-78,1978
18688,Virako (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,Sep-78,1978
2301,Thoran Rul (Earth-616),Public Identity,,Grey Eyes,Black Hair,Male Characters,Deceased Characters,Apr-79,1979
24641,Hodiak (Earth-616),,Good Characters,,,Male Characters,Living Characters,Oct-80,1980
199077,John Daltry (Earth-616),,Good Characters,,Brown Hair,Male Characters,Living Characters,May-80,1980
439911,Lou Monkton (Earth-616),,,,Black Hair,Male Characters,Living Characters,Mar-80,1980
177149,Biff Rifkin (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,,Male Characters,Living Characters,May-81,1981
47587,Nanna (Asgardian) (Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,Mar-81,1981
690645,Nell Jones (Earth-616),,,,,Female Characters,Living Characters,Aug-81,1981
130558,Paul Jansen (Earth-616),Public Identity,Good Characters,,,Male Characters,Living Characters,Jul-81,1981
16019,Hyper-Ultronic Brain Employing Randomized Tracings (Earth-616),Public Identity,Good Characters,,No Hair,,Deceased Characters,Jan-82,1982
18633,Myron Wilburn (Earth-616),Public Identity,Neutral Characters,,Grey Hair,Male Characters,Living Characters,Nov-82,1982
246407,Nurse Stevens (Earth-616),,Good Characters,,Black Hair,Female Characters,Living Characters,Jun-82,1982
653710,Feldspar (Earth-616),Public Identity,Neutral Characters,,,Male Characters,Living Characters,May-83,1983
44421,Nina da Costa (Earth-616),Public Identity,Good Characters,,Red Hair,Female Characters,Living Characters,Sep-83,1983
59406,Friedrich von Roehm (Earth-616),Secret Identity,,,Brown Hair,Male Characters,Deceased Characters,Dec-84,1984
4363,Healer (Earth-616),Secret Identity,Good Characters,,Grey Hair,Male Characters,Deceased Characters,Mar-84,1984
18624,Philip Watson (Earth-616),,,,,Male Characters,Living Characters,Dec-84,1984
247886,Roger Willis (Earth-616),Secret Identity,Good Characters,,White Hair,Male Characters,Living Characters,Jul-84,1984
1381,Cybele (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,Oct-85,1985
249826,Gudrun (Asgardian) (Earth-616),,Good Characters,,Blond Hair,Female Characters,Living Characters,Nov-85,1985
19604,Kura (Earth-616),Public Identity,Neutral Characters,Brown Eyes,,Female Characters,Living Characters,Sep-85,1985
15225,O.Z. Chase (Earth-616),Public Identity,Good Characters,Black Eyes,White Hair,Male Characters,Living Characters,Jul-85,1985
20339,Piper (Morlock) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,Jun-85,1985
1716,Glynis Zarkov (Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Living Characters,Jan-86,1986
1852,Ilya Zarkov (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,Jan-86,1986
671841,Jack Brennan (Earth-616),No Dual Identity,Good Characters,,Brown Hair,Male Characters,Living Characters,Jul-86,1986
33931,Lewis Haywerth (Earth-616),Public Identity,Neutral Characters,,Grey Hair,Male Characters,Living Characters,Jul-86,1986
73247,Sharon Banks (Earth-616),Public Identity,Good Characters,,Brown Hair,Female Characters,Living Characters,Jul-86,1986
482643,Simeon (Earth-616),Public Identity,,,Grey Hair,Male Characters,Deceased Characters,Oct-86,1986
35489,Anya Eisenhardt (Earth-616),No Dual Identity,Good Characters,,Brown Hair,Female Characters,Deceased Characters,Aug-87,1987
425346,Bill (Lobster) (Earth-616),,Good Characters,Green Eyes,No Hair,Male Characters,Living Characters,May-87,1987
5516,Cort Zo Tinnus (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Orange Hair,Male Characters,Living Characters,Oct-87,1987
1878,Dei Guan (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,Jun-88,1988
317581,Exitar (Earth-616),,Neutral Characters,,,,Deceased Characters,Jan-88,1988
250999,James Kincaid (Earth-616),,Good Characters,,Blond Hair,Male Characters,Living Characters,Aug-88,1988
47746,Kwaku Anansi (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,Dec-88,1988
244102,Lloyd Zahner (Earth-616),,,,Blond Hair,Male Characters,Living Characters,Sep-88,1988
19588,Michael Phillips (Earth-616),Public Identity,Neutral Characters,,Blond Hair,Male Characters,Living Characters,Apr-88,1988
608938,Sandy Kintzler (Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,Living Characters,Mar-88,1988
39546,Gina Dyson (Earth-616),Public Identity,,,Brown Hair,Female Characters,Living Characters,Sep-89,1989
32653,Lian Shen (Earth-616),,,Black Eyes,Black Hair,Female Characters,Living Characters,Nov-89,1989
125009,Ray Lippert (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,Living Characters,Dec-89,1989
17132,Beatta Dubiel (Earth-616),Secret Identity,,Red Eyes,White Hair,Female Characters,Living Characters,May-90,1990
739699,Jorrma (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters,May-90,1990
157379,Joseph Trinity (Earth-616),Secret Identity,Good Characters,,Blond Hair,Male Characters,Living Characters,Oct-90,1990
66240,Purple Hayes (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,Sep-90,1990
18182,Argus LaVecchio (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,Dec-91,1991
18262,Aya Komatsu (Earth-616),,,Black Eyes,Black Hair,Female Characters,Living Characters,May-91,1991
726264,Broderick Bazin (Earth-616),,,,,,Living Characters,Aug-91,1991
686334,Guy Cross-Wallace (Earth-616),Public Identity,,Brown Eyes,Black Hair,Male Characters,Deceased Characters,Jan-91,1991
18791,Impala (Earth-616),Secret Identity,,Brown Eyes,Bald,Female Characters,Living Characters,Jul-91,1991
18180,Markus Ettlinger (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,Jul-91,1991
19658,Nadia Dornova (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,Jun-91,1991
11472,Origin (Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,,Living Characters,Jan-91,1991
726266,Steve Rubino (Earth-616),,,,,Male Characters,Living Characters,May-91,1991
302718,Marlene McKenna (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,Nov-92,1992
79518,Segismund Joshua (Earth-616),Secret Identity,Neutral Characters,,Blond Hair,Male Characters,Living Characters,Aug-92,1992
16730,Tigerstryke (Mitchell) (Earth-616),Secret Identity,Neutral Characters,,,Male Characters,Living Characters,Jun-92,1992
57336,Black Axe (Earth-616),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,Living Characters,Apr-93,1993
105343,Darklore (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters,Jul-93,1993
19554,Edward Passim (Earth-616),,,,White Hair,Male Characters,Living Characters,Aug-93,1993
19261,William Hastings (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,Jun-93,1993
19312,Carlos Cruz (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,Dec-94,1994
455453,Cartier St. Croix (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,Dec-94,1994
86443,Cassiopeia (Pantheon) (Earth-616),Secret Identity,Good Characters,,,Female Characters,Living Characters,Jan-94,1994
557753,Doris Jacquet (Earth-616),,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,Jan-94,1994
22905,Talos (Earth-616),Public Identity,Neutral Characters,Green Eyes,No Hair,Male Characters,Living Characters,Jun-94,1994
40675,Zefra (Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,Living Characters,Jun-94,1994
393792,Eelak (Earth-616),No Dual Identity,Good Characters,Yellow Eyes,Black Hair,Male Characters,Living Characters,Mar-95,1995
128128,Hal Flynt (Earth-616),,Neutral Characters,,,Female Characters,Deceased Characters,Jan-95,1995
18144,Morfex (Earth-616),Secret Identity,Good Characters,,Bald,Male Characters,Living Characters,Dec-95,1995
19581,Wendy Christiansen (Earth-616),,Neutral Characters,,,Female Characters,Deceased Characters,Jan-95,1995
18358,William Destine (Earth-616),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,Living Characters,Feb-95,1995
503228,Cary St. Lawrence (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,Oct-96,1996
18329,Daria (Earth-616),,,Brown Eyes,Bald,Female Characters,Living Characters,Oct-96,1996
7754,Gomurr (Earth-616),,Good Characters,,Bald,Male Characters,Living Characters,Feb-96,1996
348741,Leonard Samson (Heroes Reborn) (Earth-616),Public Identity,Good Characters,,,Male Characters,Living Characters,Nov-96,1996
2566,Sledge (Earth-616),Secret Identity,,,,Male Characters,Living Characters,Nov-96,1996
43875,Delphis (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,Living Characters,Oct-97,1997
45614,Lian Goh (Earth-616),Secret Identity,,White Eyes,Blond Hair,Female Characters,Living Characters,Sep-97,1997
2232,M9 (Nina) (Earth-616),,Good Characters,,Black Hair,Female Characters,Living Characters,Feb-97,1997
27332,Mark Howard (Earth-616),Public Identity,,,,Male Characters,Living Characters,Mar-97,1997
3977,Cerebro (Founder) (Earth-616),,,Red Eyes,,,Deceased Characters,Oct-98,1998
321449,Ilaney Brukner (Earth-616),,,Blue Eyes,Blond Hair,Female Characters,Living Characters,Jul-98,1998
79825,Wilhelmina Lumpkin (Earth-616),Public Identity,Good Characters,,Red Hair,Female Characters,Living Characters,Feb-98,1998
244811,Aria (Earth-616),No Dual Identity,Good Characters,White Eyes,Purple Hair,Female Characters,Deceased Characters,Jan-99,1999
36133,Bounty (Humanoid) (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,Feb-99,1999
41669,Mercedes Wilson (Earth-616),Secret Identity,,Amber Eyes,Red Hair,Female Characters,Living Characters,Mar-99,1999
58633,Ranger (Terrorist) (Earth-616),,,,Brown Hair,Male Characters,Living Characters,Jan-99,1999
484664,Theodore Twaki (Earth-616),Public Identity,Good Characters,Brown Eyes,,Male Characters,Living Characters,Jan-99,1999
4051,Yoshiro Hachiman (Earth-616),,,,,Male Characters,Living Characters,Nov-99,1999
11145,Ameiko Sabuki (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,Deceased Characters,Jul-00,2000
16751,Ashley Martin (Earth-616),No Dual Identity,,,Blond Hair,Female Characters,Living Characters,Aug-00,2000
17476,Elite (Vigilante Squad) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,Aug-00,2000
17494,Hector Ridondo (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Deceased Characters,May-00,2000
279940,Neffethesk (Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,Living Characters,Nov-00,2000
494330,Vradec (Earth-616),,Good Characters,,Blond Hair,Female Characters,Living Characters,Feb-00,2000
280434,Sharon Ginsberg (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,Oct-02,2002
16830,Andrea Margulies (Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,Mar-03,2003
35300,Bobby Soul (Earth-616),Secret Identity,Neutral Characters,,Black Hair,Male Characters,Living Characters,Nov-03,2003
57225,Cameron Palmer (Earth-616),Public Identity,,Blue Eyes,Brown Hair,Female Characters,Living Characters,Nov-03,2003
15910,Dallas Gibson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,Sep-03,2003
708657,Elizabeth Kendal (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters,Jul-03,2003
336144,Gail Collins (Earth-616),,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,Dec-03,2003
708661,Henry Pierce (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,Aug-03,2003
47775,Ian Kendall (Earth-616),Public Identity,,,Brown Hair,Male Characters,Living Characters,Aug-03,2003
16468,Jeffrey Garrett (Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,Mar-03,2003
9056,Robbie Rodriguez (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,May-03,2003
15905,Callie Betto (Earth-616),Secret Identity,,Green Eyes,Brown Hair,Female Characters,Deceased Characters,Jul-04,2004
442170,Edward Mulligan (Earth-616),,Neutral Characters,Brown Eyes,No Hair,Male Characters,Living Characters,Oct-04,2004
16686,Edward Tancredi (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Deceased Characters,Sep-04,2004
242500,Hanna Levy (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,Aug-04,2004
30314,Mar (Earth-616),Secret Identity,,White Eyes,Green Hair,Female Characters,Living Characters,Aug-04,2004
15932,Mark Sheppard (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,Jun-04,2004
16793,Native (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,Jun-04,2004
127560,Thunder (Major Mapleleaf) (Earth-616),,Good Characters,,,Male Characters,Living Characters,May-04,2004
73692,Gabriel Vargas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,Dec-05,2005
442705,Hunter (Pride) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,Sep-05,2005
452774,Megan Kinney (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,Mar-05,2005
30405,Stretch (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,Sep-05,2005
92119,Stu Cicero (Earth-616),Public Identity,Good Characters,,,Male Characters,Living Characters,Apr-05,2005
101409,Cru (Earth-616),Secret Identity,Good Characters,Red Eyes,White Hair,Female Characters,Deceased Characters,Jun-06,2006
21627,Dirk Anger (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,Mar-06,2006
20714,Jeremiah Muldoon (Earth-616),Secret Identity,Good Characters,Black Eyes,Bald,Male Characters,Deceased Characters,Mar-06,2006
338852,Kerberos (Earth-616),Public Identity,Good Characters,Black Eyes,Brown Hair,Male Characters,Living Characters,Jan-06,2006
19387,Nathaniel Briggs (Earth-616),Secret Identity,Good Characters,,Brown Hair,Male Characters,Deceased Characters,Jan-06,2006
68507,Dennis Murray (Earth-616),Public Identity,,Brown Eyes,Brown Hair,Male Characters,Living Characters,Sep-07,2007
422703,Elizabeth Benning (Earth-616),,Neutral Characters,,,Female Characters,Living Characters,Nov-07,2007
35918,Tinkabelinos Hardleg (Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,Living Characters,Jan-07,2007
339794,Twitchy (Earth-616),Secret Identity,Good Characters,,Brown Hair,Male Characters,Living Characters,Jun-09,2009
263085,Unspoken (Earth-616),Secret Identity,Neutral Characters,Grey Eyes,Grey Hair,Male Characters,Living Characters,Sep-09,2009
401183,Eric Solvang (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,Living Characters,Nov-10,2010
492424,Amanda von Doom (Earth-616),,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,Dec-11,2011
522094,Buck Lime (Earth-616),No Dual Identity,Good Characters,,,Male Characters,Living Characters,Sep-11,2011
407700,Sanjar Javeed (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Bald,Male Characters,Living Characters,Jan-11,2011
512835,Scorn (Symbiote) (Earth-616),,Good Characters,White Eyes,Bald,Agender Characters,Living Characters,Feb-11,2011
570617,Joelle (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,Oct-12,2012
523600,Sigurd (Bor) (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,Jan-12,2012
639778,Carrie (Nova) (Earth-616),,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,Apr-13,2013
591378,Charles Cotta (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,May-13,2013
18413,Henry Ackerdson (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,,
674333,Abigail Burns (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Living Characters,,
702973,Faira Sar Namora (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,Living Characters,,
15508,Carl Burgess (Earth-616),Secret Identity,Good Characters,,Brown Hair,Male Characters,Living Characters,Jun-40,1940
237813,Marvex the Super-Robot (Earth-616),,Good Characters,Grey Eyes,No Hair,Male Characters,Living Characters,Apr-40,1940
