id,name,IDENTITY,EYE,HAIR,SEX,ALIVE,AT LARGE,FIRST APPEARANCE,Year
395410,August Masters (Earth-616),,,Brown Hair,Male Characters,Living Characters,No,Dec-81,1981
439912,Beverly Cross (Earth-616),,,Black Hair,Female Characters,Living Characters,Yes,Apr-81,1981
490652,Dherk (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Sep-81,1981
2681,Kirigi (Earth-616),Secret Identity,,,Male Characters,Deceased Characters,No,Sep-81,1981
2729,Null the Living Darkness (Earth-616),Secret Identity,Black Eyes,No Hair,,Living Characters,Yes,Jan-82,1982
1625,Tom\u00e1s Ram\u00edrez (Earth-616),,Brown Eyes,Bald,Male Characters,Living Characters,Yes,Sep-82,1982
11800,Volx (Earth-616),Public Identity,,No Hair,Female Characters,Deceased Characters,No,Nov-83,1983
116344,Maraud (Earth-616),Secret Identity,Yellow Eyes,No Hair,Female Characters,Living Characters,No,Aug-84,1984
3885,Baba Yaga (Earth-616),Secret Identity,Red Eyes,Green Hair,Female Characters,Living Characters,Yes,Nov-85,1985
30311,Kariooq (Earth-616),Public Identity,,,,Living Characters,No,Jul-85,1985
23845,Black Raazer (Earth-616),,,,Male Characters,Living Characters,No,Mar-86,1986
5555,Urthona (Earth-616),,Orange Eyes,No Hair,Male Characters,Living Characters,Yes,Oct-86,1986
30315,Daniel Bannion (Earth-616),Secret Identity,,,Male Characters,Living Characters,Yes,Jan-87,1987
30316,Thomas Bannion (Earth-616),Secret Identity,,,Male Characters,Living Characters,No,Jan-87,1987
401502,Alex (Inferno Baby) (Earth-616),Secret Identity,Purple Eyes,No Hair,Male Characters,Living Characters,No,Dec-88,1988
34056,Crotus (Earth-616),,Yellow Eyes,Blue Hair,Male Characters,Living Characters,Yes,Oct-88,1988
7321,Gerald Stone (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Living Characters,Yes,Nov-88,1988
1860,Infectia (Josephine) (Earth-616),Secret Identity,Brown Eyes,Black Hair,Female Characters,Deceased Characters,No,May-88,1988
244100,Jody Choate (Earth-616),No Dual Identity,,,Male Characters,Deceased Characters,No,Sep-88,1988
18103,Marc Riemer (Earth-616),Secret Identity,,,,Living Characters,No,Jun-88,1988
406108,Shauna (Earth-616),Secret Identity,Brown Eyes,Black Hair,Female Characters,Living Characters,Yes,Nov-88,1988
2012,Worm (Savage Land Mutate) (Earth-616),Secret Identity,Yellow Eyes,,Male Characters,Living Characters,Yes,Oct-89,1989
17158,Danielle Forte (Earth-616),Secret Identity,Pink Eyes,No Hair,Female Characters,Living Characters,Yes,Oct-90,1990
1331,Allen Marc Yuric (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Oct-91,1991
297441,Chainsaw (Earth-616),,,Brown Hair,Male Characters,Living Characters,No,Jan-91,1991
297001,Jonin (Earth-616),,,Black Hair,Male Characters,Living Characters,Yes,Jul-91,1991
1548,Norman Harrison (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Feb-91,1991
174685,Anthony Grant (Earth-616),Secret Identity,White Eyes,No Hair,Male Characters,Living Characters,Yes,Jun-92,1992
177286,Ayla Ranefer (Earth-616),Secret Identity,Blue Eyes,,Female Characters,Living Characters,Yes,Dec-92,1992
5830,Dargin Bokk (Earth-616),Secret Identity,Red Eyes,Black Hair,Male Characters,Living Characters,No,Oct-92,1992
19601,Dwarf (Earth-616),Secret Identity,Black Eyes,Black Hair,Male Characters,Living Characters,No,Aug-92,1992
39602,Dylon-Cir (Earth-616),Secret Identity,,Brown Hair,Male Characters,Deceased Characters,No,Jul-93,1993
234039,Priapus (Earth-616),,Yellow Eyes,,Male Characters,Living Characters,No,Apr-93,1993
26809,Skeletron (Earth-616),Secret Identity,,No Hair,Male Characters,Living Characters,Yes,Dec-93,1993
18401,Advisor (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,Yes,Apr-94,1994
40669,Deluge (Avatars) (Earth-616),Secret Identity,,,,Living Characters,Yes,Dec-94,1994
34595,Dusk (Demon) (Earth-616),,,,,Living Characters,Yes,Jan-94,1994
95513,Foundry (Avatars) (Earth-616),Secret Identity,Orange Eyes,No Hair,Male Characters,Living Characters,No,Dec-94,1994
26731,Kateri Deseronto (Earth-616),Secret Identity,Blue Eyes,Black Hair,Female Characters,Deceased Characters,No,Aug-94,1994
40054,Lich (Earth-616),,,No Hair,Male Characters,Living Characters,Yes,Dec-94,1994
19590,Derek Smalls (Earth-616),Secret Identity,,Black Hair,Male Characters,Deceased Characters,No,Mar-95,1995
295594,Amora (Heroes Reborn) (Earth-616),Public Identity,Green Eyes,Yellow Hair,Female Characters,Living Characters,No,Nov-96,1996
672600,Victor von Doom (Heroes Reborn) (Earth-616),Public Identity,,,Male Characters,Living Characters,No,Nov-96,1996
17498,Hunger (Crown) (Earth-616),Secret Identity,,White Hair,Male Characters,Living Characters,No,Jan-97,1997
264600,Badd Axe (Earth-616),Secret Identity,,Bald,Male Characters,Living Characters,No,Sep-99,1999
27142,Pagan (Earth-616),,Red Eyes,Black Hair,Male Characters,Living Characters,Yes,Mar-99,1999
1200,Amanda Mueller (Earth-616),Secret Identity,Brown Eyes,White Hair,Female Characters,Deceased Characters,No,Feb-00,2000
4435,Maguire Beck (Earth-616),Secret Identity,Hazel Eyes,Brown Hair,Female Characters,Deceased Characters,No,Jan-01,2001
41596,Micah (Earth-616),Secret Identity,Variable Eyes,Variable Hair,Male Characters,Living Characters,No,Dec-05,2005
129835,Adam Harkins (Earth-616),Secret Identity,Green Eyes,Red Hair,Male Characters,Deceased Characters,No,Dec-06,2006
84825,Leon Murtaugh (Earth-616),Secret Identity,Brown Eyes,Bald,Male Characters,Deceased Characters,No,Sep-07,2007
122157,Blackagar Boltagon (Skrull) (Earth-616),Secret Identity,Green Eyes,No Hair,Male Characters,Deceased Characters,No,Jan-08,2008
485977,Citadel (Earth-616),Secret Identity,Blue Eyes,,Male Characters,Living Characters,Yes,Sep-08,2008
338510,Freak (Vagrant) (Earth-616),Secret Identity,Blue Eyes,No Hair,Male Characters,Living Characters,Yes,Feb-08,2008
251009,James Madrox (Cortex) (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,Yes,Jan-08,2008
297581,Argus (Earth-616),Secret Identity,,,Male Characters,Living Characters,Yes,Jun-09,2009
706346,Ashcroft (A.I.M.) (Earth-616),Secret Identity,,,Male Characters,Deceased Characters,No,Nov-09,2009
705620,Blake (A.I.M.) (Earth-616),Secret Identity,,Black Hair,Male Characters,Deceased Characters,No,Sep-09,2009
281438,Bouncing Betty (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Female Characters,Living Characters,Yes,Nov-09,2009
401546,Gustavo Zapata (Earth-616),,Brown Eyes,,Male Characters,Living Characters,No,Apr-09,2009
281434,Lobe (Earth-616),Secret Identity,Black Eyes,Black Hair,Male Characters,Living Characters,No,Nov-09,2009
401544,Rigo Zapata (Earth-616),,Brown Eyes,,Male Characters,Living Characters,Yes,Apr-09,2009
351861,Charles Ulysses (Earth-616),Secret Identity,,Brown Hair,Male Characters,Deceased Characters,No,Mar-10,2010
511051,Founder (Red Right Hand) (Earth-616),,Brown Eyes,White Hair,Male Characters,Living Characters,Yes,Nov-10,2010
511054,Ninja (Red Right Hand) (Earth-616),,Black Eyes,Black Hair,Female Characters,Deceased Characters,No,Nov-10,2010
511053,Old Woman (Red Right Hand) (Earth-616),,Blue Eyes,White Hair,Female Characters,Deceased Characters,No,Nov-10,2010
511055,Son (Red Right Hand) (Earth-616),,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Nov-10,2010
403437,William Downing (Earth-616),Secret Identity,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,No,Nov-10,2010
342559,Xarus (Earth-616),Secret Identity,Red Eyes,Blond Hair,Male Characters,Deceased Characters,No,Aug-10,2010
535600,Christian Poulsen (Earth-616),,,Black Hair,Male Characters,Deceased Characters,No,Oct-11,2011
458949,Hel Wolf (Earth-616),Public Identity,,No Hair,Male Characters,Living Characters,Yes,Jul-11,2011
419384,Winsor (Earth-616),,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Feb-11,2011
512287,Weapon III (Earth-616),,Red Eyes,Bald,Male Characters,Deceased Characters,No,Apr-12,2012
623407,Agent Gorman (Earth-616),No Dual Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Jan-13,2013
564728,Gorr (God Butcher) (Earth-616),Public Identity,,,Male Characters,Deceased Characters,No,Jan-13,2013
679249,Gordon Nobili (Earth-616),Public Identity,White Eyes,No Hair,Male Characters,Living Characters,Yes,,
703901,Offer (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Male Characters,Living Characters,Yes,,
729887,Patriot (Entity) (Earth-616),Secret Identity,,,Male Characters,Living Characters,Yes,,
521367,Louis Remiens (Earth-616),Secret Identity,,Blond Hair,Male Characters,Living Characters,Yes,Sep-46,1946
522030,Rex Herr (Earth-616),Public Identity,,Black Hair,Male Characters,Living Characters,No,Nov-46,1946
241891,Philip Wing (Earth-616),,White Eyes,Bald,Male Characters,Deceased Characters,No,Jul-54,1954
45214,Droom (Earth-616),Public Identity,Black Eyes,No Hair,Male Characters,Deceased Characters,No,May-60,1960
260742,Orrgo (Earth-616),Public Identity,White Eyes,No Hair,Male Characters,Living Characters,Yes,Nov-61,1961
16074,Rorgg (Earth-616),Public Identity,Red Eyes,No Hair,Male Characters,Living Characters,Yes,Jan-61,1961
289554,"Benjamin Grimm (Skrull, Cow) (Earth-616)",Secret Identity,Green Eyes,No Hair,Male Characters,Deceased Characters,No,Jan-62,1962
93257,Igor Drenkov (Earth-616),Secret Identity,,Brown Hair,Male Characters,Deceased Characters,No,May-62,1962
36636,"Jonathan Storm (Skrull, Cow) (Earth-616)",Secret Identity,Green Eyes,No Hair,Male Characters,Deceased Characters,No,Jan-62,1962
289548,"Reed Richards (Skrull, Cow) (Earth-616)",Secret Identity,Green Eyes,No Hair,Male Characters,Deceased Characters,No,Jan-62,1962
8798,Blackie Gaxton (Earth-616),No Dual Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Apr-64,1964
727084,Ernst Mueller (Earth-616),No Dual Identity,,Blond Hair,Male Characters,Living Characters,Yes,Jan-65,1965
727082,Fritz von Sydow (Earth-616),No Dual Identity,,,Male Characters,Living Characters,Yes,Jan-65,1965
727081,Ludwig Schroeder (Earth-616),No Dual Identity,,,Male Characters,Living Characters,No,Jan-65,1965
727085,Manfred Adler (Earth-616),No Dual Identity,,,Male Characters,Living Characters,Yes,Jan-65,1965
727083,Otto Rabe (Earth-616),No Dual Identity,,,Male Characters,Living Characters,Yes,Jan-65,1965
297064,Bornag Royale (Earth-616),Public Identity,,White Hair,Male Characters,Living Characters,No,Jul-66,1966
18757,Tri-Man (Earth-616),,,,Male Characters,Living Characters,No,Nov-66,1966
14093,Caldwell Rozza (Earth-616),Secret Identity,White Eyes,Bald,Male Characters,Deceased Characters,No,Jul-67,1967
2084,Magnir (Earth-616),Secret Identity,,,Male Characters,Living Characters,No,Aug-67,1967
310926,Krimonn (Earth-616),Secret Identity,Green Eyes,No Hair,Male Characters,Living Characters,Yes,Oct-69,1969
51873,Super-Humanoid (Earth-616),,White Eyes,No Hair,Male Characters,Living Characters,Yes,Jun-69,1969
177432,Igron (Earth-616),Public Identity,,Black Hair,Male Characters,Living Characters,No,Jun-70,1970
1098,Marcus Lassiter (Earth-616),,,,Male Characters,Deceased Characters,No,Jan-70,1970
16027,Richard Janus (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Feb-71,1971
57951,Stoneface (Earth-616),Secret Identity,,Black Hair,Male Characters,Living Characters,No,Feb-71,1971
1168,Bi-Beast (Earth-616),Public Identity,Black Eyes,No Hair,Male Characters,Deceased Characters,No,Nov-73,1973
2233,Ningal (Earth-616),,,Orange Hair,Male Characters,Living Characters,Yes,May-73,1973
15349,Xorr the God-Jewel (Earth-616),,Red Eyes,No Hair,Male Characters,Living Characters,No,Aug-73,1973
168229,Dude Jensen (Earth-616),,Blue Eyes,Black Hair,Male Characters,Living Characters,No,Feb-74,1974
653054,Jean Claude Pennysworth (Earth-616),Public Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Sep-74,1974
440076,Ninja (Earth-616),Secret Identity,,,Male Characters,Living Characters,No,Sep-74,1974
1118,Ronald English (Earth-616),Secret Identity,Red Eyes,Bald,Male Characters,Deceased Characters,No,Feb-76,1976
95237,Scimitar (Earth-616),,,Brown Hair,Male Characters,Deceased Characters,No,Jun-76,1976
246355,William Hao (Earth-616),,,,Male Characters,Living Characters,Yes,Oct-76,1976
7711,Aquarius (LMD) (Earth-616),Secret Identity,,Blond Hair,Male Characters,Living Characters,Yes,Jul-77,1977
1486,Dromedan (Earth-616),,,,Male Characters,Living Characters,No,Oct-77,1977
269526,Nigel Pigman (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Jul-77,1977
34458,Abd-el-Hazred (Earth-616),Secret Identity,,,Male Characters,Living Characters,Yes,Aug-78,1978
4523,Lady Lotus (Earth-616),Secret Identity,Brown Eyes,Black Hair,Female Characters,Living Characters,Yes,Feb-79,1979
15987,Bel-Dann (Earth-616),No Dual Identity,White Eyes,Black Hair,Male Characters,Living Characters,Yes,Sep-80,1980
88705,Rupert Dockery (Earth-616),Public Identity,,,Male Characters,Living Characters,Yes,May-80,1980
16175,Avarrish (Earth-616),,White Eyes,No Hair,Male Characters,Living Characters,No,Mar-81,1981
32592,Fashima (Earth-616),,,No Hair,Female Characters,Living Characters,No,Jun-81,1981
12857,Jonathan Darque (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,Yes,Oct-81,1981
122226,Manfred Haller (Earth-616),Secret Identity,Brown Eyes,Blond Hair,Male Characters,Living Characters,Yes,Jun-81,1981
16603,Kenji Oyama (Earth-616),,,,Male Characters,Deceased Characters,No,Jul-83,1983
39753,Dragonrider (Earth-616),Public Identity,,Bald,Female Characters,Living Characters,Yes,Sep-84,1984
17180,Ernest St. Ives (Earth-616),Public Identity,Grey Eyes,Black Hair,Male Characters,Deceased Characters,No,Feb-84,1984
18280,Hoodwink (Earth-616),Secret Identity,,,Female Characters,Living Characters,No,Jun-84,1984
24639,Nidhogg (Earth-616),Public Identity,,,Male Characters,Deceased Characters,No,Jan-84,1984
62643,Tolomaq (Earth-616),Public Identity,,,,Living Characters,Yes,Jul-85,1985
490555,Valdemar Tykkio (Earth-616),Secret Identity,,,Male Characters,Deceased Characters,No,Dec-85,1985
17444,Yorgon Tykkio (Earth-616),Secret Identity,Brown Eyes,Red Hair,Male Characters,Deceased Characters,No,Dec-85,1985
167511,Jonathan Gallagher (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Feb-87,1987
249646,Samuel Smith (Earth-616),,,Brown Hair,Male Characters,Deceased Characters,No,Nov-87,1987
1075,Ani-Mator (Earth-616),Secret Identity,Blue Eyes,Bald,Male Characters,Deceased Characters,No,Jan-88,1988
407136,Bob (Inferno Baby) (Earth-616),Secret Identity,Blue Eyes,Bald,Male Characters,Living Characters,No,Dec-88,1988
7320,Jacob Eichorn (Earth-616),Secret Identity,Hazel Eyes,Brown Hair,Male Characters,Living Characters,Yes,Nov-88,1988
413963,Maw (Inferno Baby) (Earth-616),Secret Identity,Brown Eyes,No Hair,Male Characters,Deceased Characters,No,Dec-88,1988
45172,Roche (Earth-616),Public Identity,,Grey Hair,Male Characters,Living Characters,Yes,Sep-88,1988
246184,Black Shadow (Earth-616),,,Black Hair,Male Characters,Deceased Characters,No,Dec-89,1989
245711,Elmer Gore (Earth-616),Public Identity,,,Male Characters,Living Characters,Yes,Feb-89,1989
106988,Jody Putt (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Aug-89,1989
2616,Juliana Worthing (Earth-616),Secret Identity,,Red Hair,Female Characters,Living Characters,Yes,Feb-90,1990
2622,Jun Tenta (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Deceased Characters,No,Sep-90,1990
81506,Werner von Strucker (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,No,Aug-90,1990
7658,Anne Marie Cortez (Earth-616),No Dual Identity,Black Eyes,Blue Hair,Female Characters,Deceased Characters,No,Oct-91,1991
32514,Dubose Wilson (Earth-616),,,Black Hair,Male Characters,Living Characters,Yes,Feb-91,1991
2308,Psynapse (Earth-616),Secret Identity,,Black Hair,Male Characters,Deceased Characters,No,Apr-91,1991
18264,Tung Rapongan (Earth-616),Secret Identity,,Strawberry Blond Hair,Male Characters,Living Characters,No,Apr-91,1991
27522,Wyndell Dickinson (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,No,Oct-91,1991
321200,Aaron Cashin (Earth-616),Secret Identity,,Brown Hair,Male Characters,Living Characters,No,Jun-92,1992
2564,Christopher Anderson (Earth-616),Secret Identity,,Bald,Male Characters,Living Characters,Yes,Jan-92,1992
1376,Crule (Earth-616),Secret Identity,White Eyes,Orange Hair,Male Characters,Deceased Characters,No,Jul-92,1992
302730,Gregory Belial (Earth-616),Secret Identity,,Black Hair,Male Characters,Deceased Characters,No,Dec-92,1992
4070,Heike Zemo (Earth-616),Secret Identity,Blue Eyes,Bald,Female Characters,Deceased Characters,No,Feb-92,1992
300176,Meat Market (Earth-616),Secret Identity,Red Eyes,No Hair,Male Characters,Living Characters,No,Aug-92,1992
15678,Theodore Davros (Earth-616),Secret Identity,,,Male Characters,Living Characters,No,May-92,1992
549621,Don Rigoletto (Earth-616),,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,No,Dec-93,1993
127355,Fast (Sparrow) (Earth-616),Secret Identity,,Black Hair,Female Characters,Living Characters,No,May-93,1993
34308,Henrique Gallante (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Feb-93,1993
622651,Philip Grant (Earth-616),Public Identity,Blue Eyes,,Male Characters,Living Characters,No,Dec-93,1993
20145,Black Brigade (Earth-616),Secret Identity,Blue Eyes,,Male Characters,Deceased Characters,No,Oct-94,1994
86183,Butterfly (Avatars) (Earth-616),Secret Identity,,Black Hair,Female Characters,Living Characters,No,Dec-94,1994
1408,Deadbolt (Earth-616),Secret Identity,,,Male Characters,Deceased Characters,No,Nov-94,1994
338202,Dread (Earth-616),Secret Identity,Green Eyes,White Hair,Male Characters,Deceased Characters,No,Mar-94,1994
125888,Hywell Griffin (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Male Characters,Living Characters,No,Nov-94,1994
76664,Lenz (Earth-616),Secret Identity,Red Eyes,Green Hair,Male Characters,Living Characters,Yes,Oct-94,1994
116423,Marius Boudreaux (Earth-616),Public Identity,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,No,Jan-94,1994
19185,Protocol (Earth-616),,Red Eyes,Bald,Male Characters,Living Characters,Yes,Nov-94,1994
338195,Rak (Earth-616),Secret Identity,,Green Hair,Male Characters,Living Characters,No,Feb-94,1994
18207,Tantalus (Deviant) (Earth-616),Secret Identity,Red Eyes,,Male Characters,Living Characters,Yes,Feb-94,1994
352795,Arkadine Arcadius (Earth-616),No Dual Identity,Yellow Eyes,White Hair,Male Characters,Living Characters,Yes,Mar-95,1995
393791,Ator (Earth-616),No Dual Identity,,Brown Hair,Male Characters,Living Characters,Yes,Mar-95,1995
39606,Jason Tso (Earth-616),Public Identity,,Black Hair,Male Characters,Deceased Characters,No,Nov-95,1995
249751,Joseph Wade (Earth-616),Secret Identity,,Brown Hair,Male Characters,Living Characters,Yes,Nov-95,1995
250703,River Verys (Earth-616),Public Identity,White Eyes,Grey Hair,Male Characters,Deceased Characters,No,Dec-95,1995
9855,Sergio Torres (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,Yes,Dec-95,1995
400296,Spook (Earth-616),Secret Identity,,Bald,Male Characters,Living Characters,Yes,Feb-95,1995
101631,Harper (Earth-616),Secret Identity,,White Hair,Male Characters,Living Characters,No,Jun-96,1996
295053,Johann Shmidt (Heroes Reborn) (Earth-616),,,,Male Characters,Living Characters,No,Sep-96,1996
338865,Josephine Pulaski (Earth-616),Public Identity,Brown Eyes,Brown Hair,Female Characters,Living Characters,Yes,Jan-96,1996
7670,Kamal el Alaoui (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,Yes,Nov-96,1996
268627,Homer Un (Earth-616),,,,Male Characters,Living Characters,Yes,Jan-97,1997
301941,Max Pressman (Earth-616),Secret Identity,,,Male Characters,Living Characters,Yes,Aug-97,1997
30321,Meiko Yin (Earth-616),,,Black Hair,Female Characters,Living Characters,No,Mar-97,1997
16994,Nikolai Vronsky (Earth-616),Secret Identity,,Bald,Male Characters,Living Characters,Yes,Sep-97,1997
419813,Cinder Fontatine (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Female Characters,Living Characters,Yes,Jul-98,1998
419815,Vise (Earth-616),Secret Identity,Blue Eyes,Red Hair,Female Characters,Living Characters,No,Jul-98,1998
17091,Lord Templar (Tremont) (Earth-616),,Red Eyes,Black Hair,Male Characters,Living Characters,Yes,Feb-99,1999
7625,Olisa Kabaki (Earth-616),Secret Identity,Brown Eyes,Black Hair,Female Characters,Living Characters,Yes,Nov-99,1999
265091,Tokkots (Earth-616),,,,Male Characters,Living Characters,Yes,Feb-99,1999
7672,Venkat Katregadda (Earth-616),Secret Identity,Brown Eyes,Black Hair,Male Characters,Living Characters,Yes,Mar-99,1999
16913,Revenant (Earth-616),Secret Identity,Black Eyes,Bald,Female Characters,Deceased Characters,No,Aug-00,2000
95417,Marvin Hoffman (Earth-616),Secret Identity,,Black Hair,Male Characters,Deceased Characters,No,Jul-01,2001
19558,"Samuel Silke, Jr. (Earth-616)",Public Identity,Black Eyes,Black Hair,Male Characters,Deceased Characters,No,Dec-01,2001
1960,Leash (Earth-616),Secret Identity,,Black Hair,Female Characters,Living Characters,Yes,Jan-02,2002
19538,Yith (Earth-616),,Black Eyes,Auburn Hair,Female Characters,Living Characters,Yes,Jul-02,2002
12753,Digger (Vegas Thirteen) (Earth-616),Public Identity,Pink Eyes,No Hair,Male Characters,Living Characters,Yes,May-03,2003
289413,Zarina (Earth-616),No Dual Identity,Blue Eyes,,Female Characters,Living Characters,Yes,Oct-03,2003
36297,Lucia von Bardas (Earth-616),Secret Identity,Green Eyes,Black Hair,Female Characters,Living Characters,No,Apr-04,2004
30502,Augustine du Lac (Earth-616),Secret Identity,,Black Hair,Male Characters,Living Characters,No,Jun-05,2005
116385,Edgar Lascombe (Earth-616),Secret Identity,,Brown Hair,Male Characters,Living Characters,No,Aug-05,2005
58652,Igor Stancheck (Earth-616),Secret Identity,Yellow Eyes,Bald,Male Characters,Deceased Characters,No,Jun-05,2005
21492,Zander Rice (Earth-616),,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,No,Mar-05,2005
23583,Black Cloak (Earth-616),Secret Identity,,,Male Characters,Deceased Characters,No,Feb-06,2006
23586,Hypernova (Earth-616),Secret Identity,White Eyes,Red Hair,Female Characters,Living Characters,Yes,Feb-06,2006
42293,Jack Dio (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Living Characters,Yes,Apr-06,2006
32469,Perro (Earth-616),Secret Identity,,Black Hair,Male Characters,Living Characters,Yes,Sep-06,2006
32468,Serafina (Earth-616),Secret Identity,Grey Eyes,Black Hair,Female Characters,Living Characters,Yes,Sep-06,2006
28231,Tenebrous (Earth-616),,,,,Deceased Characters,No,Oct-06,2006
23592,Warshot (Earth-616),Secret Identity,,,Male Characters,Living Characters,Yes,Feb-06,2006
119466,Cronus (Earth-616),Public Identity,Brown Eyes,White Hair,Male Characters,Living Characters,Yes,Jun-08,2008
292780,Henry McCoy (Skrull) (Earth-616),Secret Identity,Green Eyes,No Hair,Male Characters,Deceased Characters,No,Jun-08,2008
121746,Piper Dali (Earth-616),Secret Identity,Yellow Eyes,Black Hair,Female Characters,Living Characters,Yes,Jul-08,2008
182047,Plokta (Earth-616),Secret Identity,White Eyes,No Hair,Male Characters,Living Characters,No,Dec-08,2008
250442,Amity Hunter (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Female Characters,Living Characters,Yes,Jul-09,2009
316006,Clown (Franklin) (Earth-616),Secret Identity,,,Male Characters,Living Characters,No,Aug-09,2009
335136,Tattooed Man (Earth-616),Secret Identity,,Bald,Male Characters,Living Characters,Yes,Jan-09,2009
280568,Verre (Earth-616),Secret Identity,Green Eyes,Red Hair,Female Characters,Living Characters,Yes,Nov-09,2009
273333,Zodiac (Dark Reign) (Earth-616),Secret Identity,Blue Eyes,Brown Hair,Male Characters,Living Characters,No,Aug-09,2009
339697,Danielle Blunt (Earth-616),Secret Identity,,Blond Hair,Female Characters,Living Characters,Yes,Aug-10,2010
388664,Doctor Noc (Earth-616),Secret Identity,,Bald,Male Characters,Deceased Characters,No,Mar-10,2010
392432,Fire Knives (Earth-616),Secret Identity,Brown Eyes,Red Hair,Female Characters,Deceased Characters,No,Nov-10,2010
339702,Jason Pierce (Earth-616),Secret Identity,Yellow Eyes,No Hair,Male Characters,Living Characters,No,Aug-10,2010
391814,Lady Gorgon (Earth-616),Secret Identity,Brown Eyes,Black Hair,Female Characters,Deceased Characters,No,Aug-10,2010
309696,Robert Hellsgaard (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Feb-10,2010
453350,Black Fog (Earth-616),Secret Identity,Brown Eyes,,Male Characters,Living Characters,No,Jun-11,2011
478139,Mako (Young Masters) (Earth-616),Secret Identity,Black Eyes,No Hair,Male Characters,Living Characters,No,Sep-11,2011
476647,William Rolfson (Earth-616),Secret Identity,Red Eyes,No Hair,Male Characters,Deceased Characters,No,Oct-11,2011
518067,Firebrand (Amanda) (Earth-616),Secret Identity,Grey Eyes,Red Hair,Female Characters,Living Characters,Yes,Apr-12,2012
625309,Xanto Starblood (Earth-616),Secret Identity,Purple Eyes,No Hair,Male Characters,Living Characters,Yes,Apr-12,2012
682159,Mr. Raven (Earth-616),Secret Identity,,Brown Hair,Male Characters,Living Characters,No,Apr-13,2013
640765,Black Dwarf (Earth-616),No Dual Identity,Yellow Eyes,No Hair,Male Characters,Deceased Characters,No,,
684842,Colin Sixty (Earth-616),Public Identity,Blue Eyes,White Hair,Male Characters,Living Characters,Yes,,
627042,Snot (Earth-616),Secret Identity,Green Eyes,Auburn Hair,Male Characters,Living Characters,No,,
18952,Heinrich Himmler (Earth-616),,,,Male Characters,Deceased Characters,No,Apr-43,1943
503021,Dorothy Walker (Earth-616),Public Identity,,,,Deceased Characters,No,Nov-44,1944
269107,Future Man (Earth-616),Secret Identity,,,Male Characters,Deceased Characters,No,Dec-46,1946
269113,Madame Death (Earth-616),Secret Identity,,Black Hair,Female Characters,Deceased Characters,No,Dec-46,1946
37342,Azrael (Earth-616),Secret Identity,Variable Eyes,Variable Hair,Male Characters,Living Characters,Yes,Jun-51,1951
693972,William Bonney (Earth-616),,Yellow Eyes,,Male Characters,Deceased Characters,No,Jan-51,1951
8006,Kurrgo (Earth-616),,Yellow Eyes,Grey Hair,Male Characters,Living Characters,Yes,Oct-62,1962
8072,Karl Kort (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,No,Mar-63,1963
2700,Molyb (Earth-616),Secret Identity,Black Eyes,No Hair,Male Characters,Living Characters,No,Mar-63,1963
19607,Orson Kasloff (Earth-616),Secret Identity,Brown Eyes,White Hair,Male Characters,Deceased Characters,No,Aug-63,1963
